Year,Inflation,US Stock Market,US Large Cap,US Large Cap Value,US Large Cap Growth,US Mid Cap,US Mid Cap Value,US Mid Cap Growth,US Small Cap,US Small Cap Value,US Small Cap Growth,US Micro Cap,Global ex-US Stock Market,Intl Developed ex-US Market,International ex-US Small Cap,International ex-US Value,European Stocks,Pacific Stocks,Emerging Markets,Cash,Short Term Treasury,Intermediate Term Treasury,10-year Treasury,Long Term Treasury,Total US Bond Market,TIPS,Global Bonds (Unhedged),Global Bonds (USD Hedged),Short-Term Investment Grade,Corporate Bonds,Long-Term Corporate Bonds,High Yield Corporate Bonds,Short-Term Tax-Exempt,Intermediate-Term Tax-Exempt,Long-Term Tax-Exempt,REIT,Gold,Precious Metals,Commodities
2000,0.0339,-0.1057,-0.0906,0.060899999999999996,-0.22210000000000002,0.18100000000000002,0.198,-0.06280000000000001,-0.026699999999999998,0.2188,0.0159,0.0067,-0.1561,-0.1429,-0.0308,-0.0016,-0.0821,-0.25739999999999996,-0.2756,0.0599,0.0883,0.14029999999999998,0.1728,0.1972,0.1139,,-0.0034000000000000002,0.092,0.0817,,0.1176,-0.0088,0.049100000000000005,0.0924,0.1332,0.2635,-0.054400000000000004,-0.07339999999999999,
2001,0.0155,-0.1097,-0.1202,-0.1186,-0.1293,-0.005,-0.0084,-0.0602,0.031,0.13699999999999998,-0.0078000000000000005,0.2398,-0.20149999999999998,-0.2194,-0.045899999999999996,-0.15259999999999999,-0.203,-0.2634,-0.0288,0.037000000000000005,0.078,0.0755,0.054000000000000006,0.0431,0.0843,0.0761,0.051100000000000007,0.10830000000000001,0.0814,,0.09570000000000001,0.028999999999999998,0.0475,0.050499999999999996,0.0454,0.1235,0.0075,0.1833,
2002,0.023799999999999998,-0.2096,-0.22149999999999997,-0.20879999999999999,-0.2368,-0.1461,-0.1295,-0.2122,-0.2002,-0.142,-0.15410000000000001,0.049,-0.1508,-0.1562,0.0579,-0.0852,-0.1795,-0.0932,-0.07429999999999999,0.0165,0.0802,0.14150000000000001,0.1545,0.16670000000000001,0.08259999999999999,0.1661,0.2039,0.0929,0.052199999999999996,,0.1322,0.0173,0.0349,0.0791,0.1012,0.0375,0.2557,0.3335,
2003,0.018799999999999997,0.3135,0.285,0.3225,0.25920000000000004,0.3414,0.37939999999999996,0.35590000000000005,0.45630000000000004,0.37189999999999995,0.4288,0.8098000000000001,0.40340000000000004,0.38670000000000004,0.6648000000000001,0.4993,0.387,0.38420000000000004,0.5765,0.0104,0.023799999999999998,0.023700000000000002,0.0015,0.0268,0.0397,0.08,0.2125,0.0393,0.042,0.0908,0.0626,0.172,0.016399999999999998,0.0446,0.0521,0.3566,0.1989,0.5945,
2004,0.0326,0.1252,0.1074,0.15259999999999999,0.07200000000000001,0.20350000000000001,0.26039999999999996,0.13,0.19899999999999998,0.23550000000000001,0.1606,0.1909,0.2084,0.2025,0.348,0.28800000000000003,0.2086,0.1883,0.2612,0.0132,0.0103,0.034,0.045,0.0712,0.0424,0.0827,0.098,0.0611,0.021099999999999997,0.0572,0.0894,0.0852,0.011200000000000002,0.0323,0.0412,0.30760000000000004,0.04650000000000001,0.0809,
2005,0.0342,0.059800000000000006,0.04769999999999999,0.071,0.0509,0.1393,0.1602,0.08109999999999999,0.0736,0.060700000000000004,0.0864,0.0408,0.1557,0.136,0.2323,0.1527,0.0926,0.2259,0.32049999999999995,0.031400000000000004,0.0177,0.0231,0.0301,0.0661,0.024,0.0259,-0.0434,0.049800000000000004,0.022000000000000002,0.0116,0.0513,0.0277,0.0165,0.022400000000000003,0.030699999999999998,0.1189,0.1776,0.4379,
2006,0.0254,0.1551,0.1564,0.2213,0.0901,0.136,0.1477,0.11789999999999999,0.1566,0.1924,0.1195,0.1148,0.2664,0.2627,0.2839,0.3034,0.3342,0.1199,0.2939,0.0482,0.0377,0.031400000000000004,0.0219,0.0174,0.042699999999999995,0.0043,0.0824,0.0294,0.0499,0.042199999999999994,0.0286,0.0824,0.0326,0.0443,0.0516,0.3507,0.2255,0.34299999999999997,
2007,0.0408,0.054900000000000004,0.053899999999999997,0.0008,0.12560000000000002,0.0602,-0.0437,0.17300000000000001,0.0116,-0.0707,0.09630000000000001,-0.054000000000000006,0.1552,0.1115,0.029500000000000002,0.042300000000000004,0.1382,0.0478,0.389,0.045599999999999995,0.0789,0.0998,0.1042,0.0924,0.0692,0.1159,0.08439999999999999,0.0499,0.058600000000000006,0.0373,0.0375,0.0204,0.04190000000000001,0.034300000000000004,0.0254,-0.1646,0.3045,0.3613,0.31620000000000004
2008,0.0009,-0.3704,-0.37020000000000003,-0.35969999999999996,-0.3832,-0.4182,-0.3664,-0.4707,-0.3607,-0.32049999999999995,-0.4,-0.39490000000000003,-0.441,-0.4127,-0.4168,-0.4167,-0.4473,-0.3436,-0.5281,0.015300000000000001,0.0668,0.1332,0.2053,0.22510000000000002,0.050499999999999996,-0.0285,-0.08560000000000001,-0.0235,-0.047400000000000005,0.024,0.0229,-0.21289999999999998,0.0374,-0.0014000000000000002,-0.0487,-0.3705,0.0492,-0.5602,-0.4575
2009,0.027200000000000002,0.287,0.26489999999999997,0.19579999999999997,0.3629,0.4022,0.3761,0.4254,0.36119999999999997,0.3034,0.41850000000000004,0.2596,0.36729999999999996,0.2827,0.4752,0.2836,0.3191,0.2118,0.7598,0.0016,0.0144,-0.0169,-0.1017,-0.1206,0.0593,0.10800000000000001,0.2275,0.153,0.14029999999999998,0.08460000000000001,0.0875,0.3909,0.030699999999999998,0.10220000000000001,0.1408,0.2958,0.2403,0.7646,0.11220000000000001
